fldName,fldStatusFromDate,fldStatusToDate,fldStatus,fldNpdidField,fldStatusDateUpdated,datesyncNPD
SVALIN,24.03.2014,,Producing,22507971,28.02.2023,29.05.2024
SYGNA,30.04.1999,31.07.2000,Approved for production,104718,28.02.2023,29.05.2024
SYGNA,01.08.2000,,Producing,104718,28.02.2023,29.05.2024
SYMRA,28.06.2023,,Approved for production,42002480,10.08.2023,29.05.2024
TAMBAR,03.04.2000,14.07.2001,Approved for production,1028599,28.02.2023,29.05.2024
TAMBAR,15.07.2001,,Producing,1028599,28.02.2023,29.05.2024
TAMBAR ØST,28.06.2007,01.10.2007,Approved for production,4999528,28.02.2023,29.05.2024
TAMBAR ØST,02.10.2007,,Producing,4999528,28.02.2023,29.05.2024
TOMMELITEN A,08.07.2022,12.10.2023,Approved for production,40867462,14.10.2023,29.05.2024
TOMMELITEN A,13.10.2023,,Producing,40867462,14.10.2023,29.05.2024
TOMMELITEN GAMMA,12.06.1986,02.10.1988,Approved for production,43444,28.02.2023,29.05.2024
TOMMELITEN GAMMA,03.10.1988,04.08.1998,Producing,43444,28.02.2023,29.05.2024
TOMMELITEN GAMMA,05.08.1998,,Shut down,43444,28.02.2023,29.05.2024
TOR,04.05.1973,27.06.1978,Approved for production,43520,28.02.2023,29.05.2024
TOR,28.06.1978,31.12.2015,Producing,43520,28.02.2023,29.05.2024
TOR,01.01.2016,13.11.2019,Shut down,43520,28.02.2023,29.05.2024
TOR,14.11.2019,02.12.2020,Approved for production,43520,28.02.2023,29.05.2024
TOR,03.12.2020,,Producing,43520,28.02.2023,29.05.2024
TORDIS,14.05.1991,02.06.1994,Approved for production,43725,28.02.2023,29.05.2024
TORDIS,03.06.1994,,Producing,43725,28.02.2023,29.05.2024
TRESTAKK,30.03.2017,15.07.2019,Approved for production,29396445,28.02.2023,29.05.2024
TRESTAKK,16.07.2019,,Producing,29396445,28.02.2023,29.05.2024
TROLL,15.12.1986,18.09.1995,Approved for production,46437,28.02.2023,29.05.2024
TROLL,19.09.1995,,Producing,46437,28.02.2023,29.05.2024
TROLL BRENT B,06.04.2017,27.05.2017,Approved for production,29398828,28.02.2023,29.05.2024
TROLL BRENT B,28.05.2017,,Shut down,29398828,28.02.2023,29.05.2024
TRYM,26.03.2010,11.02.2011,Approved for production,18081500,28.02.2023,29.05.2024
TRYM,12.02.2011,,Producing,18081500,28.02.2023,29.05.2024
TUNE,17.12.1999,27.11.2002,Approved for production,853376,28.02.2023,29.05.2024
TUNE,28.11.2002,,Producing,853376,28.02.2023,29.05.2024
TYRIHANS,16.02.2006,07.07.2009,Approved for production,3960848,28.02.2023,29.05.2024
TYRIHANS,08.07.2009,,Producing,3960848,28.02.2023,29.05.2024
TYRVING,05.06.2023,,Approved for production,42002471,07.06.2023,29.05.2024
ULA,30.05.1980,05.10.1986,Approved for production,43800,28.02.2023,29.05.2024
ULA,06.10.1986,,Producing,43800,28.02.2023,29.05.2024
URD,02.07.2004,07.11.2005,Approved for production,2834734,28.02.2023,29.05.2024
URD,08.11.2005,,Producing,2834734,28.02.2023,29.05.2024
UTGARD,17.01.2017,15.09.2019,Approved for production,28975098,28.02.2023,29.05.2024
UTGARD,16.09.2019,,Producing,28975098,28.02.2023,29.05.2024
VALE,23.03.2001,30.05.2002,Approved for production,1578893,28.02.2023,29.05.2024
VALE,31.05.2002,05.09.2023,Producing,1578893,19.09.2023,29.05.2024
VALE,06.09.2023,,Shut down,1578893,19.09.2023,29.05.2024
VALEMON,09.06.2011,02.01.2015,Approved for production,20460969,28.02.2023,29.05.2024
VALEMON,03.01.2015,,Producing,20460969,28.02.2023,29.05.2024
VALHALL,02.06.1977,30.09.1982,Approved for production,43548,28.02.2023,29.05.2024
VALHALL,01.10.1982,,Producing,43548,28.02.2023,29.05.2024
VARG,03.05.1996,21.12.1998,Approved for production,43451,28.02.2023,29.05.2024
VARG,22.12.1998,01.06.2016,Producing,43451,28.02.2023,29.05.2024
VARG,02.06.2016,,Shut down,43451,28.02.2023,29.05.2024
VEGA,14.06.2007,01.12.2010,Approved for production,4467595,28.02.2023,29.05.2024
VEGA,02.12.2010,,Producing,4467595,28.02.2023,29.05.2024
VERDANDE,28.06.2023,,Approved for production,42002481,10.08.2023,29.05.2024
VESLEFRIKK,02.06.1987,25.12.1989,Approved for production,43618,28.02.2023,29.05.2024
VESLEFRIKK,26.12.1989,17.02.2022,Producing,43618,28.02.2023,29.05.2024
VESLEFRIKK,18.02.2022,,Shut down,43618,28.02.2023,29.05.2024
VEST EKOFISK,04.05.1973,30.05.1977,Approved for production,43513,28.02.2023,29.05.2024
VEST EKOFISK,31.05.1977,24.08.1998,Producing,43513,28.02.2023,29.05.2024
VEST EKOFISK,25.08.1998,,Shut down,43513,28.02.2023,29.05.2024
VIGDIS,16.12.1994,27.01.1997,Approved for production,43732,28.02.2023,29.05.2024
VIGDIS,28.01.1997,,Producing,43732,28.02.2023,29.05.2024
VILJE,18.03.2005,31.07.2008,Approved for production,3392471,28.02.2023,29.05.2024
VILJE,01.08.2008,,Producing,3392471,28.02.2023,29.05.2024
VISUND,29.03.1996,20.04.1999,Approved for production,43745,28.02.2023,29.05.2024
VISUND,21.04.1999,,Producing,43745,28.02.2023,29.05.2024
VISUND SØR,10.06.2011,21.11.2012,Approved for production,20461008,28.02.2023,29.05.2024
VISUND SØR,22.11.2012,,Producing,20461008,28.02.2023,29.05.2024
VOLUND,18.01.2007,09.09.2009,Approved for production,4380167,28.02.2023,29.05.2024
VOLUND,10.09.2009,,Producing,4380167,28.02.2023,29.05.2024
VOLVE,22.04.2005,11.02.2008,Approved for production,3420717,28.02.2023,29.05.2024
VOLVE,12.02.2008,21.09.2016,Producing,3420717,28.02.2023,29.05.2024
